ID,Data Item,Data validation,Mandatory (M)/Optional(O),Business Rules
1.  Start a return,,,,
1.1,appointedReportingCompany,True/False,M,"If answer = False, then an error message will be returned advising a reporting company needs to be appointed before being able to continue with the return"
1.2,agentActingOnBehalfOfCompany,True/False,M,An Error message will be returned if data is not provided
1.3,agentName,"String
min 1 , max 160",M if 1.2 = true,"Must be completed if item 1.2 - Agent acting on behalf of company is = True
An Error message will be returned if data is not provided"
2. About the Reporting company (reportingCompany),,,,
2.1,companyName,"String
min 1 max 160 chars",M,An Error message will be returned if data is not provided
2.2,ctutr,"10 digits
min 10, max 10
Use UTR Check Sum to validate the UTR",M,An Error message will be returned if data is not provided
3. About the Group Structure (parentCompany),,,,
3.1,sameAsUltimateParent,True/False,M,"If answer = True, the Ultimate Parent Company details will not be populated as details are already captured in reporting company details
  
If answer = False, then capture Ultimate Parent Company or Deemed parent company section details 
An Error message will be returned if data is not provided
"
"Parent company -  UK tax presence (If non-UK, see section below from item 11)",,,,
3.2,"(Ultimate or Deemed Parent)
companyName","String
min 1 , max 160","M if not a deemed company
","An Error message will be returned if an Ultimate Parent Company name or Deemed Company name is not provided
An Error message will be returned if an Ultimate Parent Company name AND a Deemed Company name is provided"
3.3,"(Ultimate or Deemed Parent)
ctutr","10 digits
min 10, max 10
Use UTR Check Sum to validate the UTR","M if = UK and No SA UTR
","Mandatory if a UK tax presence parent company 
An Error message will be returned if data is not provided
If CT UTR is present, then 'Country of incorporation' cannot be present"
3.5,"(Ultimate or Deemed Parent)
sautr","10 digits
min 10, max 10
Use UTR Check Sum to validate the UTR","M if = UK and no CT UTR is entered
",An SA UTR must be provided if the Parent Company is a Limited Liability Partnership (LLP) or NO CT UTR is present
Parent Company -  Non-UK tax presence,,,,
3.7,"(Ultimate or Deemed Parent)
companyName","String
min 1 , max 160",M,An Error message will be returned if data is not provided
3.8,"(Ultimate or Deemed Parent)
countryofIncorporation","2 chars
Stored as  ISO 3166-1 alpha-2 format",M,"If 'Country of incorporation' is present, then 'CT UTR'cannot be present"
3.9,legalEntityIdentifier,"20-character, alpha-numeric",O,LEI is an alpha numerical field that contains 18 uppercase letters followed by 2 numbers 
4. Group level information (groupCompanyDetails),,,,
4.2,numberOfUkCompanies,,,"Derived figure from the number of companies listed in section - List all UK Group companies
(When the 'List all UK Group companies' has been completed, then the calculated number of entries in the list will be populated in this data item)"
