Business rule,Error Code,New error message,Error Message,Queries/explanations
n/a,notFound,"This endpoint does not exist, give a correct URL",Matching resource not found.,
n/a,downstreamError,An internal server error occured ,An internal server error occurred.,
n/a,badRequest,Invalid request ,Invalid request.,
n/a,invalidBodyType,JSON files only,Expecting text/json or application/json body.,
n/a,unauthorised,You need authorisation from HMRC to use the API.,The client and/or agent is not authorised.,
n/a,invalidAcceptHeader,Send correct accept header,The accept header is missing or invalid.,
n/a,unsupportedVersion,This version of the endpoint does not exist,The requested resource could not be found.,
4.5,accountingPeriod18MonthsMax,End date must be less than 18 months after the start date,The end date must be less than 18 months after the start date,
1.3,agentNameCharactersError,"Agent name must only include letters, numbers and common characters",Agent name contains invalid characters.,
1.3,agentNameLengthError,Agent name must be between 1 and 160 characters,Agent name must be between 1-160 characters if supplied,
1.3,agentNameNotSuppliedError,Agent acts on behalf of company so agent name needed,Agent name must be supplied if agent is acting on behalf of company,
1.3,agentNameSuppliedError,No agent so agent name not needed,Agent name must not be supplied if agent is not acting on behalf of company,
Doesn't apply to abbreviated,allocatedReactivationsCannotBeNegative,Current period reactivation must be a positive number,currentPeriodReactivation cannot be negative,
Doesn't apply to abbreviated,allocatedReactivationsDecimalError,Current period reactivation must be to 2 decimal places or less,currentPeriodReactivation is only allowed to be two decimal place,
Doesn't apply to abbreviated,allocatedRestrictionDateBeforePrevious,End date of this accounting period cannot be equal to or before the end date of the preceding accounting period,ap[INDEX]End cannot be equal to or before ap[INDEX - 1]EndDate,
Doesn't apply to abbreviated,allocatedRestrictionDecimalError,Disallowance accounting period [INDEX] must be to 2 decimal places or less,disallowanceAp[INDEX] has greater than the allowed 2 decimal places.,
Doesn't apply to abbreviated,allocatedRestrictionLaterPeriodSupplied,Accounting period [INDEX] end date cannot be given as previous accounting period is missing,ap[INDEX]End cannot be supplied as a previous period is missing,
Doesn't apply to abbreviated,allocatedRestrictionNegative,Disallowance for the accounting period [index] must be a positive number,disallowanceAp[INDEX] cannot be negative,
Doesn't apply to abbreviated,allocatedRestrictionNotSupplied,There is an accounting period [INDEX] end date so there must be a disallowance for that period,disallowanceAp[INDEX] must have a value when ap[INDEX]End is supplied,
Doesn't apply to abbreviated,allocatedRestrictionSupplied,No accounting period [INDEX] end date so no disallowance needed for that period,disallowanceAp[INDEX] cannot have a value when no ap[INDEX]End is supplied,
Doesn't apply to abbreviated,allocatedRestrictionTotalDecimalError,Total disallowances must be to 2 decimal places or less,totalDisallowances has greater than the allowed 2 decimal places.,
Doesn't apply to abbreviated,allocatedRestrictionTotalDoesNotMatch,The calculated total disallowances and the total disallowances must be the same,The totalDisallowances was [CALCULATED AMOUNT] which does not match the supplied amount of [TOTAL DISALLOWANCES],
Doesn't apply to abbreviated,allocatedRestrictionTotalNegative,Total disallowances must be a positive number,totalDisallowances cannot be negative,
Doesn't apply to abbreviated,allocatedRestrictionTotalNotSupplied,There is a restriction so total disallowances needed,totalDisallowances must be supplied if restrictions are supplied,
Doesn't apply to abbreviated,angieDecimalError,ANGIE must be to 2 decimal places or less,ANGIE has greater than the allowed 2 decimal places.,
Doesn't apply to abbreviated,ap1NotAfterGroupStartDate,There is a restriction so end date of the first accounting period must be after the start date of the group's period of account,ap1EndDate ([AP1 END DATE]) must be after the group accounting period start date ([GROUP START DATE]),
Doesn't apply to abbreviated,ap3BeforeGroupEndDate,"Where there is a restriction, the third accounting period's end date must be after the end date of the group's period of account",ap3EndDate ([AP3 END DATE]) is before the group accounting period end date ([GROUP END DATE]),
"2.1,3.2,3.7,6.1",companyNameCharactersError,Company name contains invalid characters,Company name contains invalid characters.,
