Business rule,Error Code,,Error Message,
n/a,notFound,"This endpoint does not exist, give a correct URL",Matching resource not found.,
n/a,downstreamError,An internal server error occured ,An internal server error occurred.,
n/a,badRequest,Invalid request ,Invalid request.,
n/a,invalidBodyType,JSON files only,Expecting text/json or application/json body.,
n/a,unauthorised,You need authorisation from HMRC to use the API.,The client and/or agent is not authorised.,
n/a,invalidAcceptHeader,Send correct accept header,The accept header is missing or invalid.,
n/a,unsupportedVersion,This version of the endpoint does not exist,The requested resource could not be found.,
5.1,accountingPeriod18MonthsMax,End date must be less than 18 months after the start date,The end date must be less than 18 months after the start date,
1.2,agentNameCharactersError,Agent name contains invalid characters,Agent name contains invalid characters.,
1.2,agentNameLengthError,Agent name must be between 1 and 160 characters,Agent name must be between 1-160 characters if supplied,
1.2,agentNameNotSuppliedError,Agent acts on behalf of company so agent name needed,Agent name must be supplied if agent is acting on behalf of company,
1.2,agentNameSuppliedError,No agent so agent name not needed,Agent name must not be supplied if agent is not acting on behalf of company,
6.1,authorisingCompaniesEmpty,Enter at least 1 authorising company,authorisingCompanies must have at least 1 authorising company,
3.2,cannotBeUkAndNonUk,Company submitting cannot send both a CTUTR and a country of incorporation,Identity of company submitting cannot contain data for UK and NonUK field,"This is similar to the one we did for full return but here we only have CTUTR and Country of Incorporation. So something like ""Company submitting cannot send both a CTUTR and a country of incorporation"""
3.1,companyMakingAppointmentMustSupplyDetails,"If the reporting company is not revoking itself, details of the company making revocation must be provided.",companyMakingRevocation must be supplied when isReportingCompanyRevokingItself is false,"If the reporting company is not revoking itself, details of the company making revocation must be provided."
"2.1,3.1,4.1,6.1",companyNameCharactersError,Company name contains invalid characters,Company name contains invalid characters.,
"2.1,3.1,4.1,6.1",companyNameLengthError,Company name must be 1 to 160 characters long,Company name is [LENGTH] characters long and should be between 1 and 160,
3.4,countryCodeLengthError,Country code must be 2 letters,UTR is [LENGTH] characters long and should be 2,
3.4,countryCodeValueError,Country code must be a valid ISO 3166-1 alpha-2 country code ,Country code [COUNTRY CODE] is not a valid country code,
7.1,declaredFiftyPercentOfEligibleCompanies,Declaration is not valid so will not be submitted. You need to confirm the listed companies constitute at least 50% of the eligible companies.,The declaration that the listed companies constitute at least 50% of the eligible companies must be true,
2.4,detailsNotNeededIfCompanyRevokingItself,Reporting company not needed as it is the same the company making the revocation,"If the reporting company is submitting this revocation, the identity of company making revocation is not needed.",
5.2,endDateAfterStartDate,End date of the group's period of account must be after start date of the group's period of account,End Date must be after start date,
5.1,startDateCannotBeBeforeMinimum,Start date must be on or after 2016-10-01,Start date cannot be before 2016-10-01,
5.1,startDateCannotBeInFuture,Start date cannot be in the future,Start date cannot be in the future,
"2.2,3.2,4.2,6.2",uTRChecksumError,UTR check sum given is not correct,UTR Check Sum does not satisfy the check sum,
"2.2,3.2,4.2,6.2",uTRLengthError,UTR must be 10 numeric characters,UTR is [LENGTH] characters long and should be 10,
4.1,ultimateParentCompanyIsSupplied,Ultimate parent company not needed as it is the same as the reporting company,Ultimate Parent Company must not be supplied if it is the same as the reporting company,
4.1,ultimateParentCompanyIsSuppliedRevoke,Ultimate parent company not needed as it is the same as the reporting company,Ultimate Parent Company must not be supplied if it is the same as the reporting company,
4.1,ultimateParentWrongDetailsSuppliedError,"Parent company must have either a CTUTR, a SAUTR or a country code",you have given the details for all three ultimate parents please give correct detail,
"4.2,4.3",wrongUltimateParentIsUKCompanyAndNonUK,"Parent company must have either a CTUTR, a SAUTR or a country code",you have given details for a UK and Non UK Company,
"4.2,4.4",wrongUltimateParentIsUkCompanyAndPartnership,"Parent company must have either a CTUTR, a SAUTR or a country code",you have given details for a UK Company and Partnership,
"4.2,4.5",wrongUltimateParentIsUkPartnershipAndNonUKCompany,"Parent company must have either a CTUTR, a SAUTR or a country code",you have given details for a UK Partnership and NonUK Company,
,,,,
,Declaration (currently no error messages),The declaration that the listed companies make up at least 50% of the eligible companies must be true,,
,,,,
,,,,
,,,,
,,,,
, ,,,
